P_N2_Tank(bar),P_Chamber(bar),P_Fuel_Tank(bar),M_N2O_Tank(kg),Thrust(N),P_Fuel_Inlet(bar),P_Ox_Tank(bar),P_Fuel_Injector(bar),T_Fuel_Pre(K),T_Fuel_Post(K),Fuel_Flow_Rate(L/s),T_Ox_Tank(K),Time(s)
266.447998,1.130708,44.690693,-170.100952,-20.410404,0.361715,47.042458,0.97795,293.728119,259.501556,0.312731,292.048431,0.010745
266.353943,1.193466,43.560757,-168.716644,-22.720127,0.333303,47.028877,0.99528,293.728119,259.509369,0.624496,292.048431,0.021745
266.41806,1.139015,42.889843,-169.541626,-26.821062,0.331785,46.994881,0.977758,293.728119,259.509369,0.73017,292.048431,0.032745
266.141357,1.171564,42.083336,-169.779343,-27.292435,0.30325,46.97139,0.968997,293.728119,259.509369,0.749963,292.048431,0.043745
265.977875,1.13364,40.883991,-168.660721,-22.672989,0.274594,46.99408,0.995646,293.790619,259.509369,1.115532,292.048431,0.054745
266.483459,1.160429,39.655056,-168.618774,-24.417067,0.298399,46.97031,0.982487,293.790619,259.509369,0.729373,292.048431,0.064911
266.398956,1.139696,37.994595,-170.114929,-22.437304,0.304559,47.041374,0.971475,293.790619,259.509369,1.146158,292.048431,0.075704
266.031494,1.132052,36.857121,-168.842499,-18.524918,0.257281,46.99324,0.977409,293.790619,259.509369,1.35455,292.048431,0.087183
265.946594,1.179766,35.801716,-167.388275,-15.460999,0.240859,46.991341,0.960602,293.790619,259.509369,1.2068,292.149994,0.097663
266.127441,1.175037,34.553745,-169.597565,-17.770721,0.24866,46.933277,0.977793,293.790619,259.509369,1.382937,292.149994,0.108658
265.80835,1.147288,33.550903,-168.436996,-22.343029,0.235623,46.929245,0.976763,293.790619,259.571869,1.250354,292.149994,0.119659
266.112183,1.187846,33.147976,-168.059448,-20.551817,0.197857,46.96537,0.977636,293.790619,259.571869,1.562943,292.149994,0.130361
266.120667,1.159958,31.918736,-170.156876,-21.211737,0.217892,46.904655,0.964721,293.790619,259.571869,1.35455,292.149994,0.140658
265.411407,1.172768,31.894369,-167.863693,-115.768944,0.232814,46.909,0.96678,293.790619,259.571869,1.146158,292.149994,0.15146
265.400665,1.289854,31.548882,-169.555618,-152.111725,0.197072,46.909122,0.976728,293.751556,259.571869,1.35455,292.149994,0.161745
265.375824,1.53099,31.58036,-173.261063,-201.181534,0.237107,46.86816,0.995943,293.751556,259.571869,1.667139,292.149994,0.172745
265.060333,1.752074,31.135658,-167.570053,-307.428772,0.222569,46.841286,0.991196,293.751556,259.571869,1.702612,292.149994,0.183196
265.186554,2.122931,31.071554,-170.744156,-407.171082,0.295694,46.819138,2.147696,293.751556,259.571869,1.702612,292.149994,0.193658
264.727203,2.769358,34.679008,-178.085129,-454.496826,2.602446,46.852821,12.791976,293.751556,259.571869,1.512082,292.040619,0.204658
264.371063,3.358455,33.80772,-170.883987,-508.138947,14.766893,46.689922,14.969234,293.751556,260.017181,1.250241,292.040619,0.215658
264.499695,3.646834,33.998505,-166.101868,-572.245544,15.652275,46.72097,14.926004,293.751556,260.017181,1.771013,292.040619,0.226384
264.286163,3.969157,34.094166,-169.038254,-585.208252,15.900864,46.662941,14.909652,293.751556,260.017181,1.354797,292.040619,0.236659
263.998291,4.232021,34.076332,-174.757217,-606.655701,16.038717,46.634304,15.045849,293.837494,260.017181,1.89083,292.040619,0.246745
263.736115,4.691082,33.472553,-170.114929,-672.129211,16.166695,46.64357,15.232779,293.837494,260.017181,1.179727,292.040619,0.257745
263.175354,5.230737,33.66206,-171.317444,-793.177551,16.450117,46.499714,15.486864,293.837494,260.017181,1.316957,292.040619,0.268745
263.321838,5.660548,33.892014,-172.715729,-908.475098,16.772474,46.451439,15.726429,293.837494,260.017181,1.274598,292.040619,0.279745
262.810913,6.035332,33.74593,-169.891205,-964.992615,16.93759,46.354336,16.019608,293.837494,260.017181,1.114841,292.040619,0.290745
262.348022,6.618198,33.811584,-170.031036,-1066.526123,17.165934,46.341248,16.312733,293.837494,260.017181,1.563254,292.040619,0.300863
262.294312,7.179005,33.912292,-173.386902,-1156.32251,17.475464,46.064037,16.507812,293.837494,262.728119,0.994325,292.040619,0.311704
261.903351,7.474557,34.073627,-168.255219,-1278.502075,17.642481,46.132816,16.731514,293.837494,262.728119,1.252176,292.040619,0.322231
261.333221,8.056621,34.222961,-170.856018,-1392.055542,18.105103,46.025013,17.155409,293.837494,262.728119,1.171396,292.040619,0.332662
261.615356,8.450549,34.241318,-172.282257,-1476.242554,18.321369,45.942432,17.343037,293.837494,262.728119,1.980628,292.040619,0.342746
260.882233,9.006382,33.730507,-171.121689,-1642.731201,18.637566,45.855694,17.792866,294.556244,262.728119,1.145533,292.040619,0.35376
260.675995,9.679074,34.218185,-172.254303,-1770.048706,18.902264,45.770927,18.050564,294.556244,262.728119,0.938277,292.040619,0.364745
261.147766,10.12276,33.844524,-168.870453,-1880.349731,19.055441,45.644958,18.135696,294.556244,262.728119,1.20786,292.040619,0.375142
261.17868,10.832224,34.276527,-171.541168,-2046.178345,19.816282,45.626339,18.986645,294.556244,262.728119,1.20786,292.040619,0.385658
261.287323,11.476748,34.487068,-173.834351,-2195.744629,20.306601,45.464401,19.433104,294.556244,262.728119,1.004007,292.149994,0.396358
261.776031,11.936333,34.390884,-170.897964,-2283.467041,20.596567,45.381222,19.780699,294.556244,262.728119,0.936999,292.149994,0.406658
261.765472,12.696391,34.652687,-170.100952,-2454.197998,21.140167,45.227417,20.329218,294.556244,267.923431,0.945935,292.149994,0.418376
261.857483,13.376866,34.742065,-174.197906,-2593.205566,21.641792,45.124187,20.760233,294.556244,267.923431,1.549281,292.149994,0.428658
262.404541,13.978389,34.818974,-171.471268,-2658.961914,21.799194,45.057278,20.960951,294.556244,267.923431,0.946109,292.149994,0.439658
262.220337,14.432371,34.349358,-173.960205,-2839.638672,22.284573,44.858635,21.512264,295.306244,267.923431,0.980293,292.149994,0.450658
262.411957,15.060246,34.950813,-174.603409,-3019.891357,22.750702,44.783192,21.922283,295.306244,267.923431,0.810865,292.149994,0.462085
262.460693,15.671595,35.093834,-174.169937,-3085.553467,23.178976,44.635387,22.331711,295.306244,267.923431,0.972511,292.149994,0.472119
262.666351,16.146257,35.022358,-173.56868,-3198.494141,23.51774,44.517971,22.61824,295.306244,267.923431,0.905418,292.149994,0.482658
262.516968,16.661514,34.794106,-171.275497,-3298.330811,23.726484,44.371094,22.913372,295.306244,267.923431,0.937766,292.126556,0.493658
262.969086,17.019945,35.074856,-171.988632,-3405.143555,24.05167,44.267517,23.24259,295.306244,267.923431,1.041205,292.126556,0.503673
262.658142,17.553667,35.16877,-178.364792,-3518.744385,24.346645,44.128773,23.608841,295.306244,274.321869,0.938448,292.126556,0.513745
262.949554,17.993513,35.288994,-172.659805,-3569.039795,24.688498,43.896206,23.825386,295.306244,274.321869,1.392789,292.126556,0.524748
262.926544,18.270687,35.095318,-171.527191,-3616.412598,24.773228,43.823639,24.058983,295.306244,274.321869,0.811296,292.126556,0.535745
262.892639,18.481161,35.257053,-177.190231,-3785.917969,25.042271,43.557301,24.269821,295.673431,274.321869,1.041962,292.126556,0.546793
262.816833,18.891111,35.031826,-179.329605,-3749.952148,25.208502,43.445694,24.414309,295.673431,274.321869,0.729373,292.126556,0.557745
263.155884,19.059996,35.400501,-177.260147,-3806.705322,25.349323,43.313057,24.458916,295.673431,274.321869,1.14439,292.126556,0.567776
263.00296,19.252701,35.146614,-173.344955,-3823.769043,25.453146,43.143372,24.553263,295.673431,274.321869,1.043575,292.126556,0.578704
263.134186,19.289736,35.341427,-176.700836,-3835.977539,25.535345,42.949932,24.616596,295.673431,274.321869,1.041962,292.157806,0.588752
263.003906,19.338356,35.000793,-176.840668,-3810.947754,25.415031,42.823895,24.558777,295.673431,274.321869,0.937766,292.157806,0.59975
262.890015,19.337711,35.179295,-178.25293,-3844.415283,25.467508,42.605324,24.58445,295.673431,281.634369,0.729373,292.157806,0.610752
263.009827,19.360678,35.177406,-177.903351,-3805.385498,25.511593,42.382004,24.611221,295.673431,281.634369,1.250354,292.157806,0.621752
262.611359,19.320835,35.242634,-177.008453,-3802.510254,25.443356,42.284813,24.577818,295.673431,281.634369,1.35455,292.157806,0.632745
262.789307,19.261375,34.973492,-177.581757,-3776.867676,25.31653,42.073696,24.488253,295.962494,281.634369,0.729373,292.157806,0.643796
262.828247,19.143154,34.94334,-177.0504,-3746.746826,25.13974,41.970467,24.304708,295.962494,281.634369,0.833569,292.157806,0.654752
262.84671,19.088249,35.238274,-175.708054,-3741.090332,25.230072,41.832664,24.323662,295.962494,281.634369,1.041962,292.157806,0.665745
263.033844,19.051914,34.930504,-175.973724,-3747.878174,25.206163,41.616451,24.311777,295.962494,281.634369,1.145637,292.157806,0.677057
262.87973,18.883274,34.54586,-178.25293,-3690.276611,25.026634,41.531406,24.156855,295.962494,281.634369,0.938192,292.048431,0.687754
262.843872,18.835142,34.666889,-176.840668,-3697.629883,24.882374,41.376797,24.070223,295.962494,281.634369,0.833342,292.048431,0.698753
262.874054,18.766956,34.793472,-175.861862,-3675.098389,24.736353,41.204876,23.950796,295.962494,289.884369,1.146471,292.048431,0.709752
262.791595,18.701231,34.889011,-177.106339,-3658.223145,24.727835,41.140949,23.971775,295.962494,289.884369,1.041962,292.048431,0.720755
262.814545,18.593168,34.774361,-176.602951,-3624.284424,24.703089,40.972416,23.900028,295.962494,289.884369,0.937766,292.048431,0.73175
262.786682,18.528683,34.705894,-176.351257,-3602.695557,24.554483,40.873566,23.744478,296.056244,289.884369,1.146158,292.048431,0.742789
262.430359,18.436779,34.452446,-175.568222,-3582.897949,24.453609,40.678295,23.673117,296.056244,289.884369,0.833569,292.048431,0.753752
262.603516,18.330181,34.215622,-179.651215,-3583.039551,24.340189,40.554382,23.568823,296.056244,289.884369,1.35455,292.048431,0.76475
262.408325,18.304317,34.291027,-177.553787,-3529.868652,24.219351,40.548172,23.404318,296.056244,289.884369,0.937766,292.048431,0.775752
262.346588,18.107004,34.137894,-173.163177,-3541.935791,24.06106,40.337242,23.353201,296.056244,289.884369,1.35455,292.040619,0.78675
262.815857,18.002554,34.452499,-176.672867,-3476.697998,23.885981,40.212303,23.132536,296.056244,289.884369,0.937766,292.040619,0.797752
262.162781,17.896322,34.351345,-176.700836,-3497.343994,23.858929,40.066856,23.106794,296.056244,299.009369,1.250354,292.040619,0.808754
262.010315,17.780947,34.14386,-174.799164,-3454.543457,23.931147,40.038044,23.198349,296.056244,299.009369,0.729307,292.040619,0.819759
262.059692,17.642097,34.137753,-176.407196,-3420.698975,23.816259,39.902233,23.073408,296.056244,299.009369,1.222134,292.040619,0.829981
262.116577,17.602777,33.617908,-174.659348,-3397.696045,23.678997,39.868202,22.998837,296.165619,299.009369,1.280028,292.040619,0.840712
261.809357,17.439583,33.586975,-176.602951,-3333.118164,23.486221,39.747082,22.689863,296.165619,299.009369,1.041962,292.040619,0.85171
261.580353,17.414503,33.902496,-172.072525,-3415.136719,23.603151,39.652981,22.786654,296.165619,299.009369,0.937766,292.040619,0.862718
261.32489,17.271065,33.868336,-175.148743,-3357.770752,23.48287,39.559383,22.71735,296.165619,299.009369,0.937766,292.040619,0.872806
261.488068,17.273596,33.891697,-177.190231,-3370.875,23.540724,39.535126,22.72571,296.165619,299.009369,1.093021,292.103119,0.883658
260.812134,17.3174,33.671234,-177.595734,-3346.269287,23.491684,39.499596,22.725727,296.165619,299.009369,0.926064,292.103119,0.894658
260.920044,17.264013,33.787476,-171.415329,-3353.339844,23.479223,39.277725,22.655569,296.165619,308.118744,0.816425,292.103119,0.905658
260.541565,17.209442,33.69426,-177.707596,-3341.272705,23.422922,39.148525,22.628241,296.165619,308.118744,0.978507,292.103119,0.916658
260.561584,17.17218,33.595646,-175.06485,-3299.36792,23.329414,39.048542,22.542131,296.243744,308.118744,1.200375,292.103119,0.927658
260.276062,17.015041,33.585152,-169.625534,-3312.000488,23.218174,38.98563,22.451502,296.243744,308.118744,1.042151,292.103119,0.938658
260.103302,17.021744,33.442436,-177.148285,-3267.880127,23.194283,38.891354,22.411625,296.243744,308.118744,1.458747,292.103119,0.949658
260.81012,16.945129,33.226414,-174.030121,-3313.461914,23.057039,38.775784,22.346144,296.243744,308.118744,1.250354,292.103119,0.960658
260.412384,16.937763,33.518311,-172.086502,-3252.419189,23.105188,38.708054,22.324329,296.243744,308.118744,0.937766,292.103119,0.970803
260.346069,16.894867,33.322269,-173.750458,-3293.522705,23.061106,38.708595,22.302652,296.243744,308.118744,0.833267,292.110931,0.981704
260.536285,16.79998,33.28949,-178.882156,-3218.668945,22.908939,38.672085,22.193403,296.243744,316.173431,0.948022,292.110931,0.992704
260.651031,16.808357,33.027786,-168.045471,-3265.381836,22.934752,38.561455,22.214048,296.243744,316.173431,1.443654,292.110931,1.003704
260.604736,16.778147,32.886326,-175.218658,-3213.908203,22.836985,38.502884,22.137783,296.243744,316.173431,0.842454,292.110931,1.014706
260.911194,16.755598,32.84362,-174.701294,-3236.722412,22.717403,38.497772,22.090557,296.329681,316.173431,1.030996,292.110931,1.025703
260.702515,16.620588,32.689751,-171.778885,-3202.642334,22.625204,38.368259,21.987432,296.329681,316.173431,1.146262,292.110931,1.036721
260.800507,16.653643,32.668434,-169.737396,-3218.904541,22.6129,38.330631,21.916908,296.329681,316.173431,1.146158,292.110931,1.047705
260.874542,16.692196,32.993427,-179.763077,-3184.070312,22.633493,38.23632,21.974796,296.329681,316.173431,1.458747,292.110931,1.058704
260.800232,16.603085,32.701355,-170.981857,-3205.234863,22.595989,38.187054,21.889509,296.329681,316.173431,1.146158,292.110931,1.069716
261.027557,16.590431,32.826149,-171.806854,-3136.414551,22.6092,38.139183,21.832685,296.329681,316.173431,1.041962,292.157806,1.080707
260.671722,16.547308,32.737679,-174.4496,-3198.117188,22.569113,38.080563,21.914745,296.329681,322.634369,0.937766,292.157806,1.091703
261.183472,16.509384,32.706196,-174.631378,-3173.464355,22.546022,37.982498,21.83497,296.329681,322.634369,1.041962,292.157806,1.102703
260.555542,16.49263,32.621304,-171.163635,-3180.016357,22.476789,37.963547,21.750084,296.329681,322.634369,0.946109,292.157806,1.113704
261.045349,16.465334,32.431023,-173.848343,-3140.751221,22.399738,37.918484,21.727169,296.407806,322.634369,1.310519,292.157806,1.124717
260.734406,16.319855,32.346966,-176.071609,-3144.14502,22.150993,37.6348,21.584551,296.407806,322.634369,1.14549,292.157806,1.157703
260.63504,16.313921,32.480247,-175.092804,-3087.014648,22.324486,37.663597,21.592648,296.407806,322.634369,0.8341,292.157806,1.168703
260.675903,16.22385,32.574062,-173.205124,-3081.311279,22.222548,37.615742,21.526138,296.407806,322.634369,1.287939,292.048431,1.179704
260.544617,16.128981,32.230442,-172.841583,-3060.665039,22.018724,37.50581,21.351023,296.407806,327.782806,0.911176,292.048431,1.190713
260.382965,16.117321,32.150513,-172.85556,-3092.671143,22.083559,37.503368,21.425526,296.407806,327.782806,0.833342,292.048431,1.201704
260.540924,16.13179,32.131119,-173.289032,-3076.974609,22.098742,37.459126,21.40975,296.407806,327.782806,1.274053,292.048431,1.212705
260.46817,16.077496,31.984116,-171.932693,-3073.627686,22.000137,37.373333,21.359436,296.540619,327.782806,0.912708,292.048431,1.223713
260.073853,16.07336,31.963272,-172.519974,-3059.0625,21.95019,37.344536,21.289156,296.540619,327.782806,1.146158,292.048431,1.234704
260.556122,16.054337,32.054657,-172.324219,-3064.577393,21.966089,37.305878,21.255735,296.540619,327.782806,1.35455,292.048431,1.245704
260.067444,15.979694,31.66617,-169.709427,-3009.851074,21.951708,37.345898,21.259714,296.540619,327.782806,0.937766,292.048431,1.256706
259.97757,15.835714,31.923143,-173.47081,-3046.382568,21.906576,37.161461,21.221354,296.540619,327.782806,0.729373,292.126556,1.267704
260.336609,15.818769,31.771952,-173.261063,-3021.352539,21.81743,37.10183,21.114111,296.540619,327.782806,1.250354,292.126556,1.278426
259.87439,15.803969,31.87072,-170.576355,-2969.831787,21.824638,37.126629,20.978891,296.540619,327.782806,1.041962,292.126556,1.288658
259.872681,15.704632,31.681833,-171.373383,-3066.227295,21.697554,37.079037,21.021736,296.540619,331.759369,0.729373,292.126556,1.298698
260.235046,15.743044,31.69405,-175.078827,-2931.88623,21.69626,37.046539,20.944441,296.540619,331.759369,0.770046,292.126556,1.308837
259.895782,15.730531,31.815811,-172.296249,-3020.834229,21.770956,36.999908,21.049921,296.564056,331.759369,1.286595,292.126556,1.319774
259.720764,15.749309,31.349972,-171.331436,-3024.793701,21.750677,36.875282,20.975418,296.564056,331.759369,1.025278,292.126556,1.329905
260.038788,15.659029,31.687016,-172.436081,-2989.817871,21.661846,36.892681,20.853201,296.564056,331.759369,0.847358,292.126556,1.340722
